cell,target,see_map,see_agents,hidden,dropout,wd,seed,epochs,select,n_train,n_val,n_val_logs,final_val_l1,best_val_l1,best_epoch
ds_kin_s0,ds,0,0,512,0.0,0.0,0,40,last,97745,4962,60,0.982679,0.97858,24
ds_kin_s1,ds,0,0,512,0.0,0.0,1,40,last,97745,4962,60,0.980768,0.973011,39
ds_kin_s2,ds,0,0,512,0.0,0.0,2,40,last,97745,4962,60,0.989538,0.977037,37
ds_map_agents_s0,ds,1,1,512,0.0,0.0,0,40,last,97745,4962,60,0.644117,0.602869,16
ds_map_agents_s1,ds,1,1,512,0.0,0.0,1,40,last,97745,4962,60,0.612218,0.59799,25
ds_map_agents_s2,ds,1,1,512,0.0,0.0,2,40,last,97745,4962,60,0.608604,0.597951,28
ds_map_s0,ds,1,0,512,0.0,0.0,0,40,last,97745,4962,60,0.58413,0.568194,36
ds_map_s1,ds,1,0,512,0.0,0.0,1,40,last,97745,4962,60,0.601499,0.566532,37
ds_map_s2,ds,1,0,512,0.0,0.0,2,40,last,97745,4962,60,0.603711,0.573652,33
pose_agents_s0,pose,0,1,512,0.0,0.0,0,40,last,98318,4970,60,0.37594,0.371236,23
pose_agents_s1,pose,0,1,512,0.0,0.0,1,40,last,98318,4970,60,0.382372,0.377039,32
pose_agents_s2,pose,0,1,512,0.0,0.0,2,40,last,98318,4970,60,0.38454,0.373505,22
pose_kin_s0,pose,0,0,512,0.0,0.0,0,40,last,98318,4970,60,0.385351,0.36964,34
pose_kin_s1,pose,0,0,512,0.0,0.0,1,40,last,98318,4970,60,0.381317,0.371391,37
pose_kin_s2,pose,0,0,512,0.0,0.0,2,40,last,98318,4970,60,0.379039,0.370662,31
pose_map_agents_s0,pose,1,1,512,0.0,0.0,0,40,last,98318,4970,60,0.298616,0.285064,27
pose_map_agents_s1,pose,1,1,512,0.0,0.0,1,40,last,98318,4970,60,0.292485,0.285489,30
pose_map_agents_s2,pose,1,1,512,0.0,0.0,2,40,last,98318,4970,60,0.294284,0.28244,22
pose_map_s0,pose,1,0,512,0.0,0.0,0,40,last,98318,4970,60,0.31843,0.266906,38
pose_map_s1,pose,1,0,512,0.0,0.0,1,40,last,98318,4970,60,0.28473,0.265775,39
pose_map_s2,pose,1,0,512,0.0,0.0,2,40,last,98318,4970,60,0.267512,0.267512,40
reg_pose_map_do0.2_s0,pose,1,0,512,0.2,0.0,0,40,last,98318,4970,60,0.294454,0.293476,26
reg_pose_map_do0.2_wd1e-3_s0,pose,1,0,512,0.2,0.001,0,40,last,98318,4970,60,0.334654,0.322867,38
reg_pose_map_h128_s0,pose,1,0,128,0.0,0.0,0,40,last,98318,4970,60,0.299236,0.275535,35
reg_pose_map_wd1e-2_s0,pose,1,0,512,0.0,0.01,0,40,last,98318,4970,60,0.364637,0.353511,24
reg_pose_map_wd1e-3_s0,pose,1,0,512,0.0,0.001,0,40,last,98318,4970,60,0.309901,0.286679,34
reg_pose_map_wd1e-4_s0,pose,1,0,512,0.0,0.0001,0,40,last,98318,4970,60,0.286591,0.27187,34
