run,target,see_map,see_agents,speed_mode,wd,dropout,hidden,seed,val_l1_navtrain,l1_navtest,ade_navtest,PDMS,n,spearman_ade_pdms
ds_kin_s0,ds,False,False,learned,0.0,0.0,512,0,0.9826785326004028,1.468253254890442,1.468253254890442,0.8038307026465161,12146,-0.24392847467137224
ds_kin_s1,ds,False,False,learned,0.0,0.0,512,1,0.9807683825492859,1.4715839624404907,1.4715839624404907,0.8061159845699718,12146,-0.23303991234191831
ds_kin_s2,ds,False,False,learned,0.0,0.0,512,2,0.9895381927490234,1.4712283611297607,1.4712283611297607,0.8044983542236575,12146,-0.23175397440382486
ds_map_s0,ds,True,False,learned,0.0,0.0,512,0,0.584129810333252,0.8311804533004761,0.8311804533004761,0.8138296009543932,12146,-0.04556698924175345
ds_map_s1,ds,True,False,learned,0.0,0.0,512,1,0.6014994382858276,0.8562012314796448,0.8562012314796448,0.8189365400040233,12146,-0.060852360704600005
ds_map_s2,ds,True,False,learned,0.0,0.0,512,2,0.603710949420929,0.8373538851737976,0.8373538851737976,0.8175650220778722,12146,-0.03715850305386163
ds_map_agents_s0,ds,True,True,learned,0.0,0.0,512,0,0.644116997718811,0.9133469462394714,0.9133469462394714,0.8119941014075622,12146,-0.06638034242289417
ds_map_agents_s1,ds,True,True,learned,0.0,0.0,512,1,0.6122180223464966,0.890285313129425,0.890285313129425,0.8120541856592485,12146,-0.07284096620435898
ds_map_agents_s2,ds,True,True,learned,0.0,0.0,512,2,0.6086040735244751,0.8842154145240784,0.8842154145240784,0.8123200174317622,12146,-0.07022369520962722
pose_kin_s0,pose,False,False,learned,0.0,0.0,512,0,0.3853510320186615,0.3819640874862671,0.888493537902832,0.64645203423621,12146,-0.3553467822923125
pose_kin_s0_rs,pose,False,False,rule,0.0,0.0,512,0,0.3853510320186615,0.3819640874862671,0.888493537902832,0.6475615742925634,12146,-0.3312392072714004
pose_kin_s1,pose,False,False,learned,0.0,0.0,512,1,0.38131722807884216,0.38511401414871216,0.8928161859512329,0.6486984153004668,12146,-0.3608130633123903
pose_kin_s1_rs,pose,False,False,rule,0.0,0.0,512,1,0.38131722807884216,0.38511401414871216,0.8928161859512329,0.6452907888714612,12146,-0.3575125074633569
pose_kin_s2,pose,False,False,learned,0.0,0.0,512,2,0.3790386915206909,0.38105106353759766,0.8771629929542542,0.629821496184857,12146,-0.3543287445650497
pose_kin_s2_rs,pose,False,False,rule,0.0,0.0,512,2,0.3790386915206909,0.38105106353759766,0.8771629929542542,0.6279635687439409,12146,-0.3529608081175872
pose_agents_s0,pose,False,True,learned,0.0,0.0,512,0,0.3759396970272064,0.40100598335266113,0.9304013252258301,0.6497571941016719,12146,-0.3650006738602281
pose_agents_s0_rs,pose,False,True,rule,0.0,0.0,512,0,0.3759396970272064,0.40100598335266113,0.9304013252258301,0.6513842869694895,12146,-0.3594627011202118
pose_agents_s1,pose,False,True,learned,0.0,0.0,512,1,0.38237157464027405,0.4022197723388672,0.9381921887397766,0.6541111626422215,12146,-0.3743952599047108
pose_agents_s1_rs,pose,False,True,rule,0.0,0.0,512,1,0.38237157464027405,0.4022197723388672,0.9381921887397766,0.6555411040444333,12146,-0.3627756973918192
pose_agents_s2,pose,False,True,learned,0.0,0.0,512,2,0.384539932012558,0.40495118498802185,0.9429358839988708,0.6734158140718808,12146,-0.36252384279156646
pose_agents_s2_rs,pose,False,True,rule,0.0,0.0,512,2,0.384539932012558,0.40495118498802185,0.9429358839988708,0.6724841703825793,12146,-0.33967962511040195
pose_map_s0,pose,True,False,learned,0.0,0.0,512,0,0.31843000650405884,0.3345559537410736,0.8203696012496948,0.8178706031668599,12146,-0.21176940299546812
pose_map_s0_rs,pose,True,False,rule,0.0,0.0,512,0,0.31843000650405884,0.3345559537410736,0.8203696012496948,0.7871457414132828,12146,-0.27200148952643594
reg_pose_map_h128_s0,pose,True,False,learned,0.0,0.0,128,0,0.2992362976074219,0.3100507855415344,0.7593846917152405,0.8193717722905445,12146,-0.20600133805302678
reg_pose_map_h128_s0_rs,pose,True,False,rule,0.0,0.0,128,0,0.2992362976074219,0.3100507855415344,0.7593846917152405,0.8079637377224833,12146,-0.2024959625176697
pose_map_s1,pose,True,False,learned,0.0,0.0,512,1,0.28473034501075745,0.3013453781604767,0.7409222722053528,0.811343256454776,12146,-0.21285438984329105
pose_map_s1_rs,pose,True,False,rule,0.0,0.0,512,1,0.28473034501075745,0.3013453781604767,0.7409222722053528,0.8068554309834833,12146,-0.2051822740935931
pose_map_s2,pose,True,False,learned,0.0,0.0,512,2,0.26751193404197693,0.2863033711910248,0.7021601796150208,0.839205352410806,12146,-0.21270606826026844
pose_map_s2_rs,pose,True,False,rule,0.0,0.0,512,2,0.26751193404197693,0.2863033711910248,0.7021601796150208,0.8245757470229791,12146,-0.21209386556511622
reg_pose_map_do0.2_s0,pose,True,False,learned,0.0,0.2,512,0,0.29445356130599976,0.3158237338066101,0.7684320211410522,0.8054331184059209,12146,-0.20206088534779953
reg_pose_map_do0.2_s0_rs,pose,True,False,rule,0.0,0.2,512,0,0.29445356130599976,0.3158237338066101,0.7684320211410522,0.7955743610955224,12146,-0.20310087242569022
reg_pose_map_wd1e-4_s0,pose,True,False,learned,0.0001,0.0,512,0,0.2865907549858093,0.2994111180305481,0.7332565188407898,0.8414756661471561,12146,-0.19199729586652703
reg_pose_map_wd1e-4_s0_rs,pose,True,False,rule,0.0001,0.0,512,0,0.2865907549858093,0.2994111180305481,0.7332565188407898,0.8168865936143881,12146,-0.2425372172264396
reg_pose_map_wd1e-3_s0,pose,True,False,learned,0.001,0.0,512,0,0.3099008798599243,0.31980085372924805,0.7630072832107544,0.8220515508539291,12146,-0.1965225446797439
