agent,n,score_zero,NC,DAC,EP,TTC,C,DDC,PDMS,NC_fail,DAC_fail,TTC_fail
CV,563,0.6234458259325044,0.6527531083481349,0.6429840142095915,0.23224839008546014,0.4369449378330373,1.0,0.8587921847246892,0.2333331392528974,0.3872113676731794,0.35701598579040855,0.5630550621669627
Kinematic,563,0.325044404973357,0.8987566607460036,0.7371225577264654,0.5393868824919015,0.7761989342806395,1.0,0.9085257548845471,0.5798614290073006,0.12433392539964476,0.26287744227353466,0.22380106571936056
PrivBrake,563,0.2912966252220249,0.9138543516873889,0.7655417406749556,0.5318353116469839,0.8206039076376554,0.9822380106571936,0.9236234458259325,0.6019732804831149,0.10479573712255773,0.2344582593250444,0.17939609236234458
MLP,563,0.25044404973357015,0.9200710479573713,0.8063943161634103,0.5982739649305299,0.7868561278863233,1.0,0.9342806394316163,0.6398965676849384,0.0905861456483126,0.1936056838365897,0.21314387211367672
MapMLP,563,0.3392539964476021,0.8348134991119005,0.7975133214920072,0.5208910669804612,0.6802841918294849,0.9840142095914742,0.9325044404973357,0.5480502328436814,0.1811722912966252,0.2024866785079929,0.3197158081705151
MapMLP-reg,563,0.27353463587921845,0.9005328596802842,0.8063943161634103,0.5713257795604042,0.7673179396092362,1.0,0.9316163410301954,0.6139627030628312,0.11367673179396093,0.1936056838365897,0.23268206039076378
PrivMap,563,0.10124333925399645,0.9600355239786856,0.9342806394316163,0.7034636223313578,0.8880994671403197,0.9644760213143873,0.9840142095914742,0.7859060234370068,0.04262877442273535,0.06571936056838366,0.11190053285968028
PrivMapKin,563,0.0941385435168739,0.9547069271758437,0.9502664298401421,0.7449661130788856,0.8650088809946714,0.9875666074600356,0.9840142095914742,0.8015705455587196,0.046181172291296625,0.0497335701598579,0.1349911190053286
SpeedMLP,563,0.08170515097690942,0.9493783303730018,0.9644760213143873,0.7475078130499193,0.8579040852575488,0.9875666074600356,0.9893428063943162,0.8056025225632165,0.05150976909413854,0.035523978685612786,0.14209591474245115
SpeedMLP-e200,563,0.07992895204262877,0.9493783303730018,0.9662522202486679,0.7499392856906749,0.8579040852575488,0.9857904085257548,0.9893428063943162,0.8088313502781834,0.05150976909413854,0.03374777975133215,0.14209591474245115
PrivGTPathKin,563,0.03019538188277087,0.9955595026642984,0.9733570159857904,0.7180220012899182,0.9857904085257548,0.8401420959147424,0.9893428063943162,0.8332389965659317,0.0053285968028419185,0.02664298401420959,0.014209591474245116
PrivMapGTSpd,563,0.0674955595026643,0.9760213143872114,0.9502664298401421,0.8149302514375737,0.9307282415630551,0.9840142095914742,0.9831261101243339,0.8656514318489753,0.02486678507992895,0.0497335701598579,0.06927175843694494
Human,563,0.0017761989342806395,1.0,0.9982238010657194,0.8745483568804087,0.9964476021314387,0.9964476021314387,0.9840142095914742,0.9446201338985126,0.0,0.0017761989342806395,0.003552397868561279
