,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,77868241ec115a11,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
1,3e0da2d159655124,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2,48f75646bba35456,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
3,94a77891082251d3,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
4,a5efa651fec451b5,True,0.5,0.0,0.0,0.0,1.0,0.5,0.0
5,3efa6ffa4fe25c6c,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
6,f057a88aaf1758b2,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7,e135dfbd00cc5b11,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
8,b3437b1cf6ee56d3,True,1.0,1.0,0.1602632971966746,1.0,1.0,1.0,0.650109707165281
9,e826fc97761759f9,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
10,d104844fde725c2a,True,1.0,0.0,0.0,0.0,1.0,0.5,0.0
11,bd1e37aab1c7530f,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0
12,f62055fb4d8153a6,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
13,a49872d2b9165d3a,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
14,a1b3a17fb07c54ef,True,0.5,0.0,0.0,0.0,1.0,0.5,0.0
15,3c448f4385bf58e1,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
16,2a7f092d10885cf1,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
17,70df39aae7b05204,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0
18,94fa3bcc599852fa,True,1.0,1.0,0.45843309677526467,1.0,1.0,1.0,0.7743471236563603
19,ce44016cafca5b38,True,0.5,1.0,0.47290928380674024,0.0,1.0,1.0,0.18185610079307088
20,d32336b185505124,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
