,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,ca9e7281adce5212,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
1,70ee383e3b335c16,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2,ed43e43517f358d3,True,1.0,1.0,0.7788516629935445,1.0,1.0,1.0,0.9078548595806435
3,cebac405bc31584f,True,1.0,1.0,0.804369288473556,1.0,1.0,1.0,0.9184872035306483
4,a78c6c301bdc5573,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0
5,d38905854e5f55a3,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
6,c0b8f52197ac558c,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
7,c3710fb597c05b38,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
8,3cbed749b81d5b10,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
9,f95ed06f01b458a8,True,1.0,1.0,0.7076663926386216,1.0,1.0,1.0,0.8781943302660924
10,6d7c98517e0f5a67,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,272ca65d545a5e6d,True,1.0,1.0,0.8279845566617,1.0,1.0,1.0,0.9283268986090416
12,f0ac2804298b564f,True,1.0,1.0,0.22936058117846858,1.0,1.0,1.0,0.6789002421576953
13,1ca4fb094dd0522e,True,1.0,1.0,0.7618487785971507,1.0,1.0,1.0,0.9007703244154794
14,a7995c1f914c5d0d,True,0.5,1.0,0.5350211514973274,0.0,1.0,1.0,0.1947960732286099
15,8ec0cd02d7705766,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,813b2926451158e8,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
17,ef43fe502d605e3b,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
18,e869951de22f5ecc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,e359f23c0429503b,True,0.5,1.0,0.7058762026804406,0.0,1.0,1.0,0.2303908755584251
20,7423d156df485c8b,True,1.0,1.0,0.623673850690896,1.0,1.0,0.0,0.8431974377878734
21,6a75ce4874df52b7,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
22,9610b02bc4ec529c,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
23,b386ea967bea597c,True,1.0,1.0,0.9065045354562197,0.0,1.0,1.0,0.5443768897734248
24,d104844fde725c2a,True,1.0,1.0,0.665259662848099,1.0,1.0,1.0,0.8605248595200412
25,e5f8dfb583be51bf,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
26,956e3aa8415b5712,True,1.0,1.0,0.657467613193817,1.0,1.0,1.0,0.8572781721640904
27,cb8765fe0d6a535b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,cdd7067da1925464,True,0.5,1.0,0.8258958551288407,0.0,1.0,1.0,0.25539496981850845
29,aacf46ffaf2852f4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,8ce2cf49a1955788,True,0.5,0.0,0.0,0.0,1.0,1.0,0.0
31,d2f55d2de2175a6b,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0
32,4615024da7765d62,True,1.0,1.0,0.9572813946922216,1.0,1.0,1.0,0.982200581121759
33,342982275eb15441,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
34,9aab9b217ae25c29,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,55842ddf5acd54a3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,077780f7790b584c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,3f12b84004b15310,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,65af3db384d05ac0,True,1.0,1.0,0.8019524077465606,1.0,1.0,1.0,0.9174801698944002
39,32cdbb04af4856c0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,84358d0871db53dc,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
41,bbf8fd8a87565e05,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,a15ea164cfe85b2b,True,1.0,1.0,0.0,1.0,1.0,1.0,0.5833333333333334
43,807dbc5ee447562b,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
44,ed1a1174e6aa5270,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,9e28afceaa155cf4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,e568957bee5b5b1e,True,1.0,1.0,0.7142562358682415,1.0,1.0,1.0,0.880940098278434
47,02e78191bf845092,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
48,36b0118c36d95b3f,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
49,4ec9390e0cea5cde,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
50,bd1e5e7e9c975f54,True,1.0,1.0,0.939979823743245,0.0,1.0,0.0,0.5583249265596854
51,e461c5837379517d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,9fd0bccf54215014,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,82385db0a426578d,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
54,adfb4218735f5137,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
55,4bb5e84b73765d38,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
56,4b757b7cb6d355f6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,404cf17b53805018,True,1.0,1.0,0.6051832230358297,1.0,1.0,1.0,0.8354930095982623
58,b350d0c1fd0a532a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,b5a0006f39005cee,True,0.5,0.0,0.0,0.0,1.0,0.0,0.0
60,9c633dbf7f8f5642,True,0.5,0.0,0.0,0.0,1.0,1.0,0.0
61,d3b3922b4d86538b,True,1.0,1.0,0.6150584640989994,1.0,1.0,1.0,0.8396076933745831
62,5a8f0cf120495354,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
63,200da70adf745073,True,1.0,1.0,0.9314444837334552,0.0,1.0,1.0,0.5547685348889396
64,bd67b68fea295e96,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
65,a0fb759537085455,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
66,d4e5d3e55e3751f9,True,1.0,1.0,0.883333881990227,1.0,1.0,1.0,0.9513891174959279
67,b30137ce1d255963,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,f6bb1b8ac5175173,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
69,5018ed61502d50f6,True,1.0,1.0,1.0,1.0,1.0,0.5,1.0
70,ed76dc6f7f9c5109,True,1.0,1.0,0.7022035140041164,1.0,1.0,1.0,0.8759181308350485
71,cf8a7ca3e5d95343,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,00b34c91088a5f04,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0
73,b3437b1cf6ee56d3,True,1.0,1.0,0.06910045110736755,1.0,1.0,1.0,0.6121251879614031
74,e459687c42925b9a,True,1.0,1.0,0.5256728922491776,1.0,1.0,1.0,0.8023637051038239
75,32f0e82c629d5862,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
76,494fade53c845a1b,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
77,94fa3bcc599852fa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,8a2feb24de395309,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,1ab8bf700e085f68,True,1.0,1.0,0.8005989869040893,1.0,1.0,1.0,0.9169162445433705
80,2836022321d45104,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
81,c0ee4f794af35185,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,e6acce4cea5152e2,True,1.0,1.0,0.8472749584515463,1.0,1.0,1.0,0.9363645660214776
83,b8e3585d666259f4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,3b8448effb715dc4,True,1.0,1.0,0.007473706885430359,1.0,1.0,1.0,0.5864473778689293
85,3e09a3c33726545c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,69dbb083c75b5cf5,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
87,1c6d28bbaa095e41,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
