,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,36b0118c36d95b3f,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
1,35d813d8de5854f9,True,1.0,1.0,0.24617667075946295,1.0,0.0,1.0,0.5192402794831096
2,a58d5374dae0552a,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
3,38b01bebf6df5fb8,True,1.0,1.0,0.6020252119315344,1.0,1.0,1.0,0.8341771716381393
4,ed15c501931652d8,True,1.0,1.0,0.810929771573429,1.0,1.0,1.0,0.9212207381555956
5,bff12156468e5f16,True,1.0,1.0,0.754838214292204,1.0,1.0,1.0,0.897849255955085
6,aa9a9fdb89275acb,True,1.0,1.0,0.8849631994457201,1.0,1.0,1.0,0.9520679997690501
7,031876d493e65cdd,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
8,3c8b59aa1b175a25,True,1.0,1.0,0.32004117905053137,1.0,1.0,1.0,0.7166838246043881
9,9ac3d5ecd8b55965,True,1.0,1.0,0.6794529730318085,1.0,1.0,1.0,0.8664387387632536
10,24ae3c9d96485b98,True,1.0,1.0,0.6205669775216877,1.0,1.0,1.0,0.8419029073007032
11,04135bd8a81759fa,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
12,6f4abd78d3da56fe,True,1.0,1.0,0.41673703231314224,1.0,1.0,1.0,0.7569737634638093
13,e461c5837379517d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,3fbc9ed475f55789,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,6774548111cb5ba4,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
16,2e0ec9c9c8fa51ba,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
17,106da21b5dfd5c7e,True,1.0,1.0,0.40064509935593756,1.0,1.0,1.0,0.7502687913983074
18,c0b8f52197ac558c,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
19,48f75646bba35456,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
20,f8f68a72011f5946,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
21,5d822115e0355e79,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,a1b3a17fb07c54ef,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,c672f1584cb75697,True,1.0,1.0,0.0,1.0,1.0,1.0,0.5833333333333334
24,72b0239d79175353,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
25,3265e31c65705a5f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,9b5c00687d4e590b,True,1.0,1.0,0.845501937925481,1.0,1.0,1.0,0.9356258074689504
27,add6e2410d5b5086,True,1.0,1.0,0.7643030237479375,1.0,1.0,1.0,0.9017929265616406
28,64a1d44d73015a60,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,355dadd64723531e,True,1.0,1.0,0.3667302324522001,1.0,1.0,1.0,0.7361375968550834
30,2c52f45993a257af,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
