,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,32a3850fa50256fc,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
1,7aaa999404bc5b7e,True,1.0,1.0,0.850345068583712,1.0,1.0,1.0,0.9376437785765467
2,c0b8f52197ac558c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,6a101cae21b1532d,True,1.0,1.0,0.6011720744951411,1.0,1.0,1.0,0.8338216977063088
4,9c3ce3b6a55c5907,True,1.0,1.0,0.9234037150944782,0.0,1.0,1.0,0.5514182146226992
5,b44c4df580515280,True,1.0,1.0,0.7040551638038404,1.0,1.0,1.0,0.8766896515849334
6,6cfeeb3aab5b5681,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,00f53a22cb3e5bd6,True,1.0,1.0,0.7153671677132749,1.0,1.0,1.0,0.8814029865471978
8,813b2926451158e8,True,1.0,1.0,0.9286703435022613,1.0,1.0,1.0,0.9702793097926089
9,b411f5bef10e59b7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1267703b37a25911,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,806b014bc8c15160,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1872470c12e85ed8,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
13,1f00a870fb3458b1,True,1.0,1.0,0.7760391244303653,1.0,1.0,1.0,0.9066829685126523
14,fc4ab990e1dc5729,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,65af3db384d05ac0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,4d70b40e18c15498,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,71bd11736bca5299,True,1.0,1.0,0.9347157540528902,1.0,1.0,1.0,0.972798230855371
18,77868241ec115a11,True,1.0,1.0,0.8044285470769429,1.0,1.0,1.0,0.918511894615393
19,cb8765fe0d6a535b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,b350d0c1fd0a532a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,d9fac9fdd2bd5036,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,258325ee3fe65b51,True,1.0,1.0,0.15205766609119434,1.0,1.0,1.0,0.6466906942046643
23,471f7ca3148659cd,True,1.0,1.0,0.9877121691346842,1.0,1.0,1.0,0.9948800704727851
24,3b6e0e24fe5a5f5c,True,1.0,1.0,0.8328100456422548,1.0,1.0,1.0,0.9303375190176061
25,70df39aae7b05204,True,1.0,1.0,0.9557629306007625,1.0,1.0,1.0,0.9815678877503178
26,9ae5a292b89155a0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,379b9337542359bd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,f211df82899b5b78,True,1.0,1.0,0.8243161815686171,1.0,1.0,1.0,0.9267984089869238
29,cf8a7ca3e5d95343,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,32f0e82c629d5862,True,1.0,1.0,0.6086275371707354,1.0,1.0,1.0,0.8369281404878063
31,7ffaa3cf8bf45474,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1c4f3c5e6d2757a1,True,1.0,1.0,0.857497132851386,1.0,1.0,1.0,0.9406238053547442
33,046fd63cb514581a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,4605de88aeb05903,True,1.0,1.0,0.9460630551423469,1.0,1.0,1.0,0.9775262729759779
35,3e09a3c33726545c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,3010009fcb295507,True,1.0,1.0,0.8862034758319624,1.0,1.0,1.0,0.9525847815966509
37,4d24781a33345c18,True,1.0,1.0,0.794817243267723,1.0,1.0,1.0,0.9145071846948846
38,452074cbdad6537b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,8c9ee15aa2355c99,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,54e709ae0ac25df4,True,1.0,1.0,0.7653862607371171,1.0,1.0,1.0,0.9022442753071321
41,013f7d2193995163,True,0.5,1.0,0.6750336900356357,0.0,1.0,1.0,0.22396535209075744
42,105e820419e05224,True,1.0,1.0,0.8721352355258771,1.0,1.0,1.0,0.9467230148024489
43,c3e5047f2ff85e9a,True,1.0,1.0,0.8526361782283636,1.0,1.0,1.0,0.9385984075951516
44,d32336b185505124,True,1.0,1.0,0.9471771945509,1.0,1.0,1.0,0.9779904977295416
45,ba138477116b5956,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,b214f8e744075e96,True,1.0,1.0,0.7410297688050161,1.0,1.0,1.0,0.89209573700209
47,f0af55653c6252e7,True,1.0,1.0,0.8488312732000205,1.0,1.0,1.0,0.9370130305000085
48,1b01b4ef87c951b7,True,1.0,1.0,0.9764360802472732,1.0,1.0,1.0,0.9901817001030304
49,59c3714116c25a7c,True,1.0,1.0,0.7695972332525042,1.0,1.0,1.0,0.9039988471885434
50,76dd2e9ad6f753b8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,12a68a4c440c5396,True,1.0,1.0,0.8872576076911575,1.0,1.0,1.0,0.953024003204649
52,e4e9bb5cf9fb5e89,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,e568957bee5b5b1e,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
54,e211bc381c495980,True,1.0,1.0,0.5421412648325881,1.0,1.0,1.0,0.8092255270135783
55,6e39441d943a59c2,True,1.0,1.0,0.8523940575265648,1.0,1.0,1.0,0.938497523969402
56,f8490d92c5b65e2b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,ac0c803827d65b80,True,1.0,1.0,0.6994721796260182,1.0,1.0,1.0,0.8747800748441742
58,710c63523d4d5e05,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,78e6ea95b854551c,True,1.0,1.0,0.7183787219130829,1.0,1.0,1.0,0.8826578007971179
60,dcbf1cf262365995,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,70ee383e3b335c16,True,1.0,1.0,0.6841181386979116,1.0,1.0,1.0,0.8683825577907965
62,5ccd6d1ffdc752a8,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
63,deb0dc3f9b1854fe,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,e986ae1d5f0453db,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
65,b1b22a6803555b20,True,1.0,1.0,0.7817223056164188,1.0,1.0,1.0,0.9090509606735079
66,02e78191bf845092,True,1.0,1.0,0.8195076583402782,1.0,1.0,1.0,0.9247948576417825
67,a1440abecb1e5bb7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,d38905854e5f55a3,True,1.0,1.0,0.6848271291923987,1.0,1.0,1.0,0.8686779704968327
69,7ff41f319fa05811,True,1.0,1.0,0.8555568168449121,1.0,1.0,1.0,0.9398153403520467
70,618403c227415955,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
