,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,04135bd8a81759fa,True,1.0,1.0,0.7373757613905627,1.0,1.0,1.0,0.8905732339127345
1,639929a485e1582f,True,1.0,1.0,0.8199524422172753,1.0,1.0,1.0,0.924980184257198
2,2a7f092d10885cf1,True,1.0,1.0,0.8044443833608442,1.0,1.0,1.0,0.9185184930670184
3,d9fac9fdd2bd5036,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
4,210dd1143b005422,True,1.0,1.0,0.5955145646269614,1.0,1.0,1.0,0.8314644019279006
5,4789245424875682,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,9e0633fbdeac55bb,True,1.0,1.0,0.8391478084739056,1.0,1.0,1.0,0.932978253530794
7,b8e3585d666259f4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,aacf46ffaf2852f4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,47fc4cd82c45583c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4d24781a33345c18,True,1.0,1.0,0.23670278229052308,1.0,1.0,1.0,0.6819594926210512
11,adfb4218735f5137,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
12,ea963d5373bd5a56,True,1.0,1.0,0.3703049543549909,1.0,1.0,1.0,0.7376270643145796
13,6ebe7ac324ef56c8,True,1.0,1.0,0.4457007298017259,1.0,1.0,1.0,0.7690419707507191
14,d5085a26c5915a49,True,1.0,1.0,0.6226629690775095,1.0,1.0,1.0,0.842776237115629
15,802ffb33c2655bab,True,1.0,1.0,0.8929379944743441,1.0,1.0,1.0,0.9553908310309768
16,bd4be260be50516f,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
17,01d3a49577c256d6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,21ba6fc7671d5a95,True,1.0,1.0,0.11130384414414804,1.0,1.0,1.0,0.6297099350600617
19,854521fe3b945040,True,1.0,1.0,0.43648337118232294,1.0,1.0,1.0,0.7652014046593013
20,a1903f64f4815505,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21,028125098bb45d66,True,1.0,1.0,0.9636689761791074,1.0,1.0,1.0,0.9848620734079615
22,92a2e2b8b0dd596b,True,1.0,1.0,0.757655268536061,1.0,1.0,1.0,0.8990230285566921
23,c853ae7a361f54d9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,3b96012de5d85ef5,True,1.0,1.0,0.9972880475821994,1.0,1.0,1.0,0.9988700198259165
25,7ffaa3cf8bf45474,True,1.0,1.0,0.6011733375139325,1.0,1.0,1.0,0.8338222239641385
26,9f379bc415ef56bc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,d8c1754607175755,True,1.0,1.0,0.9151636521483373,1.0,1.0,1.0,0.9646515217284738
28,84358d0871db53dc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,64a1d44d73015a60,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
30,fc4ab990e1dc5729,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,4b757b7cb6d355f6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,6e201d97d1ef5b4b,True,1.0,1.0,0.9027512758767159,1.0,1.0,1.0,0.959479698281965
33,742ac4ddb9d7557d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
