,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,faa042f84c4f585a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,7810122d0b665743,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,f154d7cc016a59f9,True,1.0,1.0,0.6802535725275667,1.0,1.0,1.0,0.8667723218864861
3,956e3aa8415b5712,True,1.0,1.0,0.6564303501348188,1.0,1.0,1.0,0.8568459792228412
4,88ea59b3f0235e02,True,1.0,1.0,0.6504163723416748,1.0,1.0,1.0,0.8543401551423645
5,8a2feb24de395309,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,b2ad937212f85714,True,1.0,1.0,0.9968056553781133,1.0,1.0,1.0,0.9986690230742138
7,3c077c8da4615b33,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2836022321d45104,True,1.0,1.0,0.7887607390491882,1.0,1.0,1.0,0.911983641270495
9,4bc793d4a9ef5860,True,1.0,1.0,0.5289504563442411,1.0,1.0,1.0,0.8037293568101004
10,106da21b5dfd5c7e,True,1.0,1.0,0.4006452867628838,1.0,1.0,1.0,0.7502688694845349
11,028125098bb45d66,True,1.0,1.0,0.9636689761791074,1.0,1.0,1.0,0.9848620734079615
12,5ea3c0ec480e5213,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
13,b84cc6bcd6d75173,True,1.0,1.0,0.7940182783305616,1.0,1.0,1.0,0.914174282637734
14,fa7f471f19aa5806,True,1.0,1.0,0.9524572749340063,1.0,1.0,1.0,0.9801905312225027
15,307f5f9b4eeb517e,True,1.0,1.0,0.9665005386281897,1.0,1.0,1.0,0.9860418910950791
16,78f39692bcf85cb2,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
17,fc4af6a05e4e522e,True,1.0,1.0,0.6474026553830255,1.0,1.0,1.0,0.8530844397429274
18,78e6ea95b854551c,True,1.0,1.0,0.2949291953402871,1.0,1.0,1.0,0.7062204980584529
