,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,9c633dbf7f8f5642,True,1.0,1.0,0.7284297436959992,1.0,1.0,1.0,0.8868457265399997
1,e459687c42925b9a,True,1.0,1.0,0.38930093058154686,1.0,1.0,1.0,0.7455420544089778
2,e269ac7ae792577b,True,1.0,1.0,0.2871106274644847,1.0,1.0,1.0,0.7029627614435352
3,f9b38490d7155d84,True,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334
4,a1440abecb1e5bb7,True,1.0,1.0,0.9165439324279491,1.0,1.0,1.0,0.9652266385116454
5,ba138477116b5956,True,1.0,1.0,0.6616516398588913,1.0,1.0,1.0,0.8590215166078714
6,0cd8b5151f03580f,True,1.0,1.0,0.056687094403258885,1.0,1.0,1.0,0.6069529560013579
7,3010009fcb295507,True,1.0,1.0,0.7379917624788435,1.0,1.0,1.0,0.8908299010328514
8,ec5e6f2f4d565c4c,True,1.0,1.0,0.8720187520878581,1.0,0.0,1.0,0.780007813369941
9,157821b8660e540b,True,1.0,1.0,0.7962271621121164,1.0,1.0,1.0,0.9150946508800485
10,77868241ec115a11,True,1.0,1.0,0.6823128445124212,1.0,1.0,1.0,0.8676303518801755
11,3b6e0e24fe5a5f5c,True,1.0,1.0,0.6946641606320442,1.0,1.0,1.0,0.8727767335966851
12,6e39441d943a59c2,True,1.0,1.0,0.713433427145409,1.0,1.0,1.0,0.8805972613105871
13,b772d3f5334b52bb,True,1.0,1.0,0.6298965251910019,1.0,0.0,1.0,0.6791235521629174
14,ddfbc4edaaae53b5,True,1.0,1.0,1.0,1.0,1.0,0.5,1.0
15,c672f1584cb75697,True,1.0,1.0,0.0,1.0,1.0,1.0,0.5833333333333334
16,dcbf1cf262365995,True,1.0,1.0,0.0,1.0,1.0,1.0,0.5833333333333334
17,8a2feb24de395309,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,2a49470a5a0050a4,True,1.0,1.0,0.7459729182946465,1.0,0.0,1.0,0.7274887159561026
19,e579b642c3845df8,True,1.0,1.0,0.7890368302855737,1.0,1.0,1.0,0.9120986792856557
20,70ee383e3b335c16,True,1.0,1.0,0.5805983674850917,1.0,1.0,1.0,0.8252493197854549
21,f32a4e9c1f425498,True,1.0,1.0,0.6532682394813505,1.0,1.0,1.0,0.8555284331172294
22,4a71a24c376f5388,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,4fbb787fadf25c9c,True,1.0,1.0,0.6767718884601703,1.0,1.0,1.0,0.8653216201917376
24,a49872d2b9165d3a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1fa7d30105dd5ebd,True,1.0,1.0,0.44909419042676474,1.0,1.0,1.0,0.7704559126778187
26,724e53e4efef58b8,True,1.0,1.0,0.6772494747964294,1.0,0.0,1.0,0.6988539478318456
27,210dd1143b005422,True,1.0,1.0,0.5173248954571594,1.0,1.0,1.0,0.7988853731071498
28,92095189951055a5,True,1.0,1.0,0.6972535951828139,1.0,1.0,1.0,0.8738556646595058
29,7b9cc1b02566583e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,59c3714116c25a7c,True,1.0,1.0,0.6560379054948458,1.0,0.0,1.0,0.6900157939561856
31,7a994056ade950d8,True,1.0,1.0,0.5932585466740322,1.0,1.0,1.0,0.8305243944475134
32,aacf46ffaf2852f4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,fdae7ff3ee06523d,True,1.0,1.0,0.36421611128791226,1.0,1.0,1.0,0.7350900463699634
34,3c077c8da4615b33,True,1.0,1.0,0.8087117650722352,1.0,0.0,1.0,0.7536299021134313
35,70df39aae7b05204,True,1.0,1.0,0.7961585320381114,1.0,1.0,1.0,0.9150660550158798
36,edcad0bfc4b15515,True,1.0,1.0,0.6326670629811926,1.0,0.0,1.0,0.6802779429088303
37,3e0da2d159655124,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,452074cbdad6537b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,00b34c91088a5f04,True,1.0,1.0,0.7705763962311946,1.0,0.0,1.0,0.737740165096331
40,900cf7a936095899,True,1.0,1.0,0.7179275789406244,1.0,1.0,1.0,0.8824698245585935
41,5ee3295e24b257b8,True,1.0,1.0,0.4654331661529268,1.0,1.0,1.0,0.7772638192303862
42,9610b02bc4ec529c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,94fa3bcc599852fa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,579f7ea85a0b56ee,True,1.0,1.0,0.7462270251483815,1.0,0.0,1.0,0.7275945938118257
45,a988872adfe45a71,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,5e8f9f6ab5695769,True,1.0,1.0,0.609288163485866,1.0,1.0,1.0,0.8372034014524442
47,0160a218dc9051bd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,58857855de47556e,True,1.0,1.0,0.5593825844885639,1.0,1.0,1.0,0.8164094102035683
49,a5c9bcab52165145,True,1.0,1.0,0.826433555113065,1.0,0.0,1.0,0.7610139812971104
50,f0af55653c6252e7,True,1.0,1.0,0.7225013890424647,1.0,1.0,1.0,0.8843755787676937
51,8c9ee15aa2355c99,True,1.0,1.0,0.5413505479058682,1.0,1.0,1.0,0.8088960616274451
52,ef43fe502d605e3b,True,1.0,1.0,0.6780446758396469,1.0,0.0,1.0,0.6991852815998528
53,5a8f0cf120495354,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
54,71fefe3bc0f0591e,True,1.0,1.0,0.6950017633336938,1.0,1.0,1.0,0.8729174013890391
55,b1b22a6803555b20,True,1.0,1.0,0.6521979562817372,1.0,1.0,1.0,0.8550824817840571
56,1267703b37a25911,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,3bff7854120758f4,True,1.0,1.0,0.8773926235241123,1.0,0.0,1.0,0.7822469264683801
58,72dac45a812f56fb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,3d2d79069bb45530,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,1c4f3c5e6d2757a1,True,1.0,1.0,0.7229450806966653,1.0,1.0,1.0,0.8845604502902772
61,86c897328378504d,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
62,14f724bc59705bb4,True,1.0,0.0,0.0,1.0,0.0,1.0,0.0
63,200da70adf745073,True,1.0,1.0,0.776994399456206,1.0,0.0,1.0,0.7404143331067524
64,bd1e5e7e9c975f54,True,1.0,1.0,0.7411429215950193,1.0,0.0,1.0,0.725476217331258
65,3f12b84004b15310,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,3b8448effb715dc4,True,1.0,1.0,0.06365783092341998,1.0,1.0,1.0,0.609857429551425
67,a4baa9a721715069,True,1.0,1.0,0.3080962431099422,1.0,1.0,1.0,0.7117067679624759
68,bd1e37aab1c7530f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,367ead111dcb5764,True,1.0,1.0,0.5262918413299436,1.0,1.0,1.0,0.8026216005541431
70,6a101cae21b1532d,True,1.0,1.0,0.5159622065481481,1.0,1.0,1.0,0.7983175860617283
71,4fea3406427a52de,True,1.0,1.0,0.6887505072686315,1.0,1.0,1.0,0.8703127113619299
72,01a303fd4e9d54d5,True,1.0,1.0,0.7887560194794224,1.0,1.0,1.0,0.9119816747830928
73,a7289f730e7f5ef2,True,1.0,1.0,0.807261268353113,1.0,0.0,1.0,0.7530255284804638
74,e211bc381c495980,True,1.0,1.0,0.44025291585101983,1.0,1.0,1.0,0.7667720482712582
75,c3e5047f2ff85e9a,True,1.0,1.0,0.7161640538949444,1.0,1.0,1.0,0.8817350224562269
76,51e7c560a43d5a25,True,1.0,1.0,0.33430224617373927,1.0,1.0,1.0,0.7226259359057247
77,8a94ea8cb82c55ad,True,1.0,1.0,0.6810806169199148,1.0,1.0,1.0,0.8671169237166311
78,cebac405bc31584f,True,1.0,1.0,0.4669799317395376,1.0,1.0,1.0,0.777908304891474
79,ac55f8a48f2f52d0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,18a85f2812b45525,True,1.0,1.0,0.3135190916921026,1.0,1.0,1.0,0.7139662882050427
81,5018ed61502d50f6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,83692bf833a15025,True,1.0,1.0,0.7607037035606998,1.0,1.0,1.0,0.9002932098169584
83,9e0633fbdeac55bb,True,1.0,1.0,0.8457162506024265,1.0,1.0,1.0,0.9357151044176777
84,046fd63cb514581a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,5a728803325e5b78,True,1.0,1.0,0.8540792477626022,1.0,0.0,1.0,0.7725330199010841
86,69dbb083c75b5cf5,True,1.0,1.0,0.544614066101852,1.0,1.0,1.0,0.8102558608757717
87,a0ff0dff8e5d512f,True,1.0,1.0,0.7363123457911319,1.0,1.0,1.0,0.8901301440796384
88,1c669b68dc3d5689,True,1.0,1.0,0.7874520037963294,1.0,0.0,1.0,0.7447716682484705
89,f2f46b43681f5a58,True,1.0,1.0,0.8959405975914572,1.0,1.0,1.0,0.9566419156631071
90,64a1d44d73015a60,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,a15ea164cfe85b2b,True,1.0,1.0,0.0,1.0,1.0,1.0,0.5833333333333334
92,79bd7ba72d985b0b,True,1.0,1.0,0.556559695385079,1.0,1.0,1.0,0.8152332064104496
93,aa9a9fdb89275acb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,f30a714dd2af598d,True,1.0,1.0,0.7793967414256665,1.0,0.0,1.0,0.741415308927361
95,a58d5374dae0552a,True,1.0,1.0,0.6518504620118812,1.0,1.0,1.0,0.8549376925049504
96,1e7bb5730b095273,True,1.0,1.0,0.8404788935262429,1.0,1.0,1.0,0.9335328723026013
97,7ff41f319fa05811,True,1.0,1.0,0.7153037977342332,1.0,1.0,1.0,0.8813765823892639
98,ca9e7281adce5212,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
99,e6acce4cea5152e2,True,1.0,1.0,0.6595701337496213,1.0,1.0,1.0,0.8581542223956755
100,32cdbb04af4856c0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,09b2b571bb63520c,True,1.0,1.0,0.7493796551108004,1.0,0.0,1.0,0.7289081896295002
102,59e57a9c10e2553b,True,1.0,1.0,0.4150233964511051,1.0,1.0,1.0,0.7562597485212939
103,f0ac2804298b564f,True,1.0,1.0,0.23920584569137301,1.0,1.0,1.0,0.6830024357047387
104,9b5c00687d4e590b,True,1.0,1.0,0.8454928031538338,1.0,1.0,1.0,0.9356220013140973
105,9228a7e1115d5bcd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,0ddc071278375700,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
107,bb137ceaa889594b,True,1.0,1.0,0.45339861210098037,1.0,1.0,1.0,0.7722494217087418
108,935eae9f2b155370,True,1.0,1.0,0.0,1.0,1.0,1.0,0.5833333333333334
109,8eed113e54f65720,True,1.0,1.0,0.46504542534173066,1.0,1.0,1.0,0.7771022605590545
110,91aeae3843455c34,True,1.0,1.0,0.9391483624984789,1.0,0.0,1.0,0.8079784843743661
111,ee835ef3f912599c,True,1.0,1.0,0.8955942439446164,1.0,0.0,1.0,0.7898309349769234
112,6f4131a328bc58b7,True,1.0,1.0,0.6742174126199083,1.0,0.0,1.0,0.6975905885916284
113,55fa5e002dfa56d0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,2d63eaba6813539f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,165e96e510d1580d,True,1.0,1.0,0.5481372588536225,1.0,1.0,1.0,0.811723857855676
116,105e820419e05224,True,1.0,1.0,0.7376187462148305,1.0,1.0,1.0,0.8906744775895127
117,7cdcc814be255d9f,True,1.0,1.0,0.8336641519125594,1.0,0.0,1.0,0.7640267299635664
118,7e60d2df0fe75f4d,True,1.0,1.0,0.7396059394425819,1.0,1.0,1.0,0.8915024747677425
